pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_STATHMIN_PATHWAY	0.220472440944882	0.874742345033607	0.128788713061714	-0.893697083725306	-1.19186075285314	1	CDK1
BIOCARTA_TALL1_PATHWAY	0.217303822937626	0.874742345033607	0.131457611642763	0.730823529411765	1.22330913399423	2	TNFSF13, TNFSF13B
BIOCARTA_TCR_PATHWAY	0.720090293453725	0.964683899096855	0.0667426134241917	-0.322913098300472	-0.800198385757273	5	NFATC2, PIK3CA, PLCG1
BIOCARTA_TCYTOTOXIC_PATHWAY	0.487854251012146	0.928591806458975	0.0810802057550866	0.746942615239887	1.01291365151901	1	ITGAL
BIOCARTA_TEL_PATHWAY	0.825910931174089	0.977379033843009	0.0550211117163117	0.571025399811853	0.774355902357734	1	BCL2
BIOCARTA_TERT_PATHWAY	0.836614173228346	0.97743538576664	0.0531298054705469	-0.587488240827846	-0.783491621217669	1	MZF1
BIOCARTA_TFF_PATHWAY	0.613861386138614	0.93289589313961	0.0681513438679483	-0.523294117647059	-0.902780392999224	2	PIK3CA, MAPK3
BIOCARTA_TGFB_PATHWAY	0.394250513347023	0.887422075540888	0.0937465422491719	-0.523540489642185	-1.05559690513257	3	EP300, SMAD3, MAPK3
BIOCARTA_TH1TH2_PATHWAY	0.23495145631068	0.874742345033607	0.123257226381337	0.621468926553672	1.23088711162004	3	CD86, IL18, IL4R
BIOCARTA_THELPER_PATHWAY	0.487854251012146	0.928591806458975	0.0810802057550866	0.746942615239887	1.01291365151901	1	ITGAL
BIOCARTA_TID_PATHWAY	0.097165991902834	0.874742345033607	0.204294756516886	0.951552210724365	1.29038055228146	1	USH1C
BIOCARTA_TNFR1_PATHWAY	0.113978494623656	0.874742345033607	0.193813302725311	-0.609043805934998	-1.37943038005809	4	LMNB1, DFFB, LMNB2, LMNA
BIOCARTA_TNFR2_PATHWAY	0.959514170040486	0.983067361258437	0.0481183992657975	0.51552210724365	0.699089018932517	1	TRAF1
BIOCARTA_TOB1_PATHWAY	0.891732283464567	0.983067361258437	0.0501934252649434	-0.552210724365005	-0.736444486236625	1	SMAD3
BIOCARTA_TOLL_PATHWAY	0.851106639839034	0.97743538576664	0.053347785067549	0.437647058823529	0.732567607607623	2	TLR7, PPARA
BIOCARTA_TPO_PATHWAY	0.513978494623656	0.928591806458975	0.0815265143256594	-0.432878002826189	-0.980430409337497	4	PIK3CA, PLCG1, MAPK3, STAT1
BIOCARTA_TRKA_PATHWAY	0.263366336633663	0.887422075540888	0.116739204791222	-0.684705882352941	-1.18124592789017	2	PIK3CA, PLCG1
BIOCARTA_TUBBY_PATHWAY	0.984251968503937	0.984466019417476	0.0456790414930062	-0.507996237064911	-0.677478743727048	1	GNAQ
BIOCARTA_VDR_PATHWAY	0.103225806451613	0.874742345033607	0.204294756516886	-0.616109279321715	-1.39543305268057	4	EP300, CHAF1A, PRMT1, SMARCA4
BIOCARTA_VEGF_PATHWAY	0.0624016330359457	0.874742345033607	0.321775918075361	-0.678756476683938	-1.53732341659993	4	VEGFA, PIK3CA, PLCG1, ELAVL1
BIOCARTA_VIP_PATHWAY	0.429158110882957	0.91908197197943	0.0888945288620449	-0.508474576271186	-1.02522001577623	3	NFATC2, PLCG1, GNAQ
BIOCARTA_VITCB_PATHWAY	0.916831683168317	0.983067361258437	0.0491927521045191	-0.376470588235294	-0.649482297121744	2	COL4A1, COL4A5
BIOCARTA_VOBESITY_PATHWAY	0.230314960629921	0.874742345033607	0.12563992130984	-0.886641580432738	-1.18245132585693	1	LPL
BIOCARTA_WNT_LRP6_PATHWAY	0.285433070866142	0.887422075540888	0.11101149245045	-0.862652869238006	-1.15045927406982	1	FZD1
BIOCARTA_WNT_PATHWAY	0.285433070866142	0.887422075540888	0.11101149245045	-0.862652869238006	-1.15045927406982	1	FZD1
