ensgene baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000105722 174.147736467795 -1.43512363939334 0.230566309785152 -6.22434231926872 0.000000000483580209071893 0.00000861885006628835
ENSG00000139329 112.310512690399 -5.8676001200353 0.991348688299747 -5.91880555175674 0.00000000324288086550951 0.000028898932832988
ENSG00000089685 55.3047434691801 -1.75592874097914 0.313407448896269 -5.60270263889075 0.0000000211035093256599 0.0000660427081635854
ENSG00000140451 16.1232979689909 -2.72311926964472 0.489166865864618 -5.56685143592365 0.00000002593833569798 0.0000660427081635854
ENSG00000166341 175.720792457478 -1.30832808152974 0.234799956886893 -5.57209677069909 0.0000000251691541141956 0.0000660427081635854
ENSG00000167513 20.4793523033681 -1.83659401946922 0.327752530357598 -5.60359981802547 0.0000000209945119367883 0.0000660427081635854
ENSG00000197757 10.3680390265777 -3.55900725312444 0.635361646384677 -5.60154562897499 0.0000000212448845881965 0.0000660427081635854
ENSG00000068489 178.529913593793 -2.83823527287487 0.520906208201175 -5.44864935028523 0.0000000507537625716653 0.000100509367812755
ENSG00000277258 174.092582095336 -1.28202587418311 0.237397676639384 -5.40033033318417 0.0000000665182967022732 0.000118555560212462
ENSG00000106333 122.689239003422 -3.07047964148182 0.57913554624728 -5.30183246629931 0.000000114646029168877 0.000127708511117305
ENSG00000168542 2053.83701008666 -4.76716386487278 0.889308470640205 -5.36052902030826 0.000000082978595133431 0.000127708511117305
ENSG00000101203 187.749992155075 -4.7228491900733 0.910222901996143 -5.18867321368862 0.000000211797697712031 0.000209715020351196
ENSG00000162063 29.1257905336878 -1.61759578605468 0.311578620328619 -5.19161354636148 0.000000208479382707919 0.000209715020351196
ENSG00000196132 57.6961630436537 -3.61639169443148 0.702886413198949 -5.14505847107316 0.000000267437499244976 0.00023832692745216
ENSG00000101057 33.9503375622882 -3.02189984127357 0.597022837622204 -5.0616151524606 0.000000415719528744367 0.000322146485252646
ENSG00000112742 7.71810791808955 -2.94026384524569 0.580032224363882 -5.06913878529811 0.000000399619765693728 0.000322146485252646
ENSG00000164692 1857.35847960658 -4.05605340190609 0.812664820784193 -4.9910532585773 0.000000600509355659534 0.000411649163304611
ENSG00000237649 24.6535685967728 -2.66031698947756 0.538157111140413 -4.943383510886 0.000000767782345084517 0.000488720883444334
ENSG00000131759 140.601155926567 -1.07270168819299 0.221121835940843 -4.85117936737812 0.00000122729490346324 0.000683564908263289
ENSG00000196230 852.060701249452 -1.32698625277523 0.273394375368614 -4.85374379405602 0.00000121152239232616 0.000683564908263289
ENSG00000183496 22.8811312595679 -2.23673814214614 0.463622917963659 -4.82447708144027 0.00000140371056423025 0.00075813131473563
ENSG00000065485 19.0268105052684 -1.81183854086537 0.377121330398178 -4.80439157061831 0.00000155222790799324 0.000813687000122459
ENSG00000142156 1505.37956229118 -2.31092499993263 0.481941041432138 -4.79503673948472 0.00000162645019604915 0.000828234909833827
ENSG00000090447 70.2164303750089 -1.15964967820754 0.242498164679859 -4.78209672117924 0.00000173476168601358 0.000835639392697838
ENSG00000117724 87.6687942725589 -2.43047299751666 0.50987024663511 -4.76684610164365 0.00000187132138999197 0.000877698977205972
ENSG00000155090 50.4830686476351 -1.4391933774627 0.30330295883529 -4.74506870288813 0.00000208435578629476 0.000928736829478288
ENSG00000164045 10.6054083155851 -2.54590047287344 0.536271826150344 -4.74740672309661 0.00000206041359088185 0.000928736829478288
ENSG00000108821 4115.85524007939 -3.976273816079 0.842741007675976 -4.71826311982178 0.00000237866721815683 0.000985929903004863
ENSG00000173404 35.5981526750641 -2.81965395937347 0.597194608809515 -4.72149935344249 0.00000234112375657962 0.000985929903004863
ENSG00000138160 18.9706635625544 -2.19893439608562 0.46746380432631 -4.70396718576883 0.0000025515427479423 0.00103354878174035
ENSG00000073111 51.7231474203256 -1.92461911186122 0.410737094949209 -4.6857689152698 0.00000278910818172951 0.00108065815484707
ENSG00000075702 30.5996012320199 -1.9378087749055 0.416285126101656 -4.65500363429342 0.00000323974992437746 0.00122855452983361
ENSG00000101825 100.707640503393 -3.37566453713386 0.72944267736035 -4.627731063597 0.00000369693658751467 0.00137271876665154
ENSG00000106244 196.476361471081 -1.98643037408446 0.430800994347708 -4.61101622360968 0.00000400705260310953 0.00140034703029845
ENSG00000134690 8.69909658947341 -2.28911704102115 0.498504692223578 -4.5919668896406 0.00000439088042487025 0.00147657852476344
ENSG00000087586 9.39108535906624 -1.9796971072908 0.433785406622176 -4.56377065034624 0.0000050242965292039 0.00157477613344982
ENSG00000125885 49.0484334239125 -1.33531226215069 0.292621841348948 -4.56326928979422 0.0000050363148519688 0.00157477613344982
ENSG00000154263 14.2231706228152 -2.96275997749523 0.648557314037839 -4.56823154001525 0.00000491856523816685 0.00157477613344982
ENSG00000162490 93.5983819528699 -2.29338214965529 0.503988294195408 -4.55046709629746 0.00000535269574169203 0.00164484648627891
ENSG00000080986 10.1553439316109 -2.86753115246604 0.631872105024697 -4.53815120126874 0.00000567495658243143 0.00167087896625473
ENSG00000115163 3.60443632293029 -3.04182450347077 0.670281801660047 -4.53812783807834 0.00000567558520170173 0.00167087896625473
ENSG00000137812 40.8782575510168 -2.87705297731784 0.634196428751146 -4.53653292085436 0.00000571865662018396 0.00167087896625473
ENSG00000111602 36.395824036145 -1.20814993400333 0.267798396974298 -4.51141585481291 0.00000643963289972528 0.00181646381184145
ENSG00000254726 79.8452173886358 -2.72447742634652 0.606179844598545 -4.49450348873091 0.00000697324602918117 0.00188146369381147
