ensgene baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000105323 723.752344114796 -0.682023773382324 0.134613441906844 -5.06653543450958 0.000000405121366301255 0.000322146485252646
ENSG00000119669 281.05308375032 -0.906291629118849 0.184146423215559 -4.92158149636149 0.000000858476394542187 0.00052760775103191
ENSG00000144231 128.013021805808 -0.984580668630355 0.214210090466868 -4.59633188373375 0.00000429993608135571 0.00147380309188467
ENSG00000148218 147.657311753693 0.953081565388262 0.213806319940942 4.45768659060932 0.00000828489124432896 0.00207974107954472
ENSG00000147140 487.294815490561 -0.966196917948322 0.220516264503238 -4.38152224338143 0.0000117853009487662 0.00253071588927543
ENSG00000112592 37.4366244113065 -0.928417344792185 0.220761241569605 -4.2055269221679 0.0000260474578298301 0.00380527738443493
ENSG00000162086 44.8898597092616 -0.886291564318543 0.215454750310237 -4.11358562780517 0.0000389560445337174 0.00499506173902479
ENSG00000178691 73.8692412964719 -0.732112163457292 0.178312078376216 -4.10579120676631 0.0000402933315287236 0.0050431580888881
ENSG00000122566 1108.49402346046 -0.632553555715568 0.158507876705173 -3.99067585071577 0.0000658852771939108 0.00703474937112702
ENSG00000161202 399.988192680907 -0.666304482388993 0.167538867969357 -3.9770143517435 0.0000697859546886367 0.00723136668846263
ENSG00000124120 58.627474428578 -0.63960211168349 0.161185946555066 -3.96810097501263 0.0000724476381796884 0.00742088652457808
ENSG00000197111 659.90426122609 -0.521951165591827 0.131769634005201 -3.96108837618251 0.000074608910265363 0.00755542390715661
ENSG00000164032 67.0933237906862 -0.952849344713941 0.24301287202293 -3.92098301946752 0.0000881884777686835 0.00845044752296369
ENSG00000163041 826.211891958851 -0.922995405693031 0.238684720832124 -3.86700666249268 0.000110179418955833 0.00959218869552476
ENSG00000105202 67.7745665085368 -0.87928484718538 0.230115833684026 -3.82105321962649 0.000132882970206499 0.0103726585791724
ENSG00000106346 47.1786807372389 -0.847513153619983 0.221878678189147 -3.81971427149704 0.000133606353024051 0.0103726585791724
ENSG00000225339 60.4435668150802 0.945451543799102 0.246604555848284 3.83387703664633 0.000126139214848929 0.0103726585791724
ENSG00000179051 280.57156159046 -0.945090337838673 0.249638210733109 -3.7858400565492 0.000153190186790105 0.011450179255007
ENSG00000099785 118.996096430285 0.739298849689373 0.196012418367999 3.77169393574541 0.000162143065077004 0.0118924932052158
ENSG00000198563 718.811406490082 -0.650884295909269 0.172771877054491 -3.76730465053629 0.000165019577110353 0.0119438721781384
ENSG00000113719 231.788675116163 -0.710342781600479 0.195057870895981 -3.64170273333541 0.000270840713329342 0.0169111533440057
ENSG00000197892 264.199749938035 0.993185289438843 0.274055580460893 3.62402870165444 0.00029004939683447 0.0177601426664132
ENSG00000141985 161.639576420487 -0.808284551454355 0.22391112076785 -3.60984549888606 0.000306379440178695 0.0184563934682005
ENSG00000131653 139.617951547269 -0.975407632933023 0.27060604534763 -3.60453008978414 0.000312718219128225 0.0187032779178602
ENSG00000146731 164.656300480296 -0.919305562588949 0.256359765774022 -3.58599782541268 0.000335791755530782 0.0193429147628972
ENSG00000166912 120.972518724402 0.905958374778338 0.255543934316867 3.5452157266037 0.000392291880686903 0.0205641711455372
ENSG00000126603 63.6575273772322 -0.991510570055118 0.280040879729034 -3.5405922557253 0.000399230033444107 0.0208054879709776
ENSG00000066044 158.905185617274 -0.786990940684154 0.223664457914092 -3.51862315552358 0.00043379241960497 0.0218403454650265
ENSG00000104824 646.797020622189 -0.672891805812173 0.191115245256264 -3.52086933153816 0.000430134521360568 0.0218403454650265
ENSG00000149929 48.5034171364334 -0.750249897266022 0.212879824599997 -3.52428840391873 0.000424621803153021 0.0218403454650265
ENSG00000181472 20.3350997978216 -0.797788841251109 0.227396482264312 -3.50836052214655 0.000450877587811572 0.0224467144196881
ENSG00000129473 147.128780438355 0.829082689176137 0.240136821269937 3.45254294943868 0.000555329061806309 0.0256415281569271
ENSG00000101126 198.193112645407 -0.737199675908341 0.213736098414812 -3.44911169136066 0.000562434011352935 0.0258357252173798
ENSG00000157800 41.1039135302559 -0.95973509713895 0.278642563272718 -3.4443233864441 0.000572490518404526 0.0261628166910869
ENSG00000178035 100.408073305689 -0.835294368032356 0.242609252974227 -3.44296170814677 0.00057538077634116 0.0261909627009733
ENSG00000111786 121.138973738721 -0.6052381431081 0.176250332605089 -3.43396879973108 0.000594812657147565 0.026771075728134
ENSG00000108578 41.1486036346599 -0.90801010973817 0.264680485413935 -3.43058955902294 0.000602271124279761 0.0268498617784505
ENSG00000111450 39.0274873837181 -0.78887646552074 0.230031047728307 -3.42943473636 0.000604839874927617 0.0268498617784505
ENSG00000144580 90.6824743697913 -0.800479351812389 0.23351203591112 -3.42800039702051 0.000608044570577743 0.0268803308660892
ENSG00000124422 735.74831950189 -0.662918713852545 0.193641635948678 -3.42343066151456 0.00061836025143297 0.0271454058159848
ENSG00000120314 84.8779386021491 -0.550396807131708 0.163020440419998 -3.37624414284302 0.000734826818900224 0.0305181260508286
ENSG00000171792 26.3792020894716 -0.92321103156886 0.273740998877628 -3.372571282176 0.000744698072841047 0.0306049567498203
ENSG00000145041 72.8958827191613 -0.62955313671516 0.187051436177655 -3.36566855395451 0.000763583993256725 0.0309303579813968
ENSG00000169683 41.5267702361656 -0.967059769658851 0.287267739444933 -3.36640574931049 0.000761546014004214 0.0309303579813968
ENSG00000213024 145.65198181211 -0.735744118203564 0.218506881344006 -3.36714392552812 0.000759510384616637 0.0309303579813968
