DF3VP_tumor_gDNA_2	DF4LAK_tumor_gDNA_2	DF5DS_tumor_gDNA_2	DF6SR_tumor_gDNA_	SK8DF_tumor_gDNA_	DF12GD_tumor_gDNA_2	DF19AE_tumor_gDNA_	MA23KB_tumor_gDNA_	UT25LM_tumor_gDNA_2	TX27DC_tumor_gDNA_2	LA33CA_tumor_gDNA_	DF2CAB_tumor_gDNA_2	DF10DL_tumor_gDNA_	DF11RCC_tumor_gDNA_	SK14JR_tumor_gDNA_	SF17LSM_tumor_gDNA_2	SF20LCK_tumor_gDNA_	SK21LS_tumor_gDNA_	DF22LM_tumor_gDNA_2	SF24RG_tumor_gDNA_	MA31PPD_tumor_gDNA_	SK30DC_tumor_gDNA_	UT34SJ_tumor_gDNA_
ENSG00000005381	5.27784697009649	0	1.76665930592898	3.43501026531091	1.43451176106157	2.92983475462804	1.55450397664839	0.500664914072976	8.30553433514344	65.8171398659349	0	0	0	0	12.7077937878696	1.64358945447237	0	0.497943697483609	0	0	0.613197400318333	0.991001284957688	1.42382181896486
ENSG00000037965	1.56961208499602	1.37818075435493	3.88810171781016	0	2.33305406113337	0	0	6.61124453114901	0.644387590549066	0	45.4706219459245	8.53589484854092	8.49257887728983	5.48572534192113	0	0	0.748468108718785	24.1094738863052	20.2725098126682	48.9760212205462	22.4922999917891	5.81604506005938	14.6233622186076
ENSG00000060140	0	0	0	0	96.7080676087062	3.29494992868389	0	0.538163046068171	4.72085139568012	0	0	1.78671043417817	0	0.57412859936539	12.3685759146059	1.766688822088	0.548335624007968	0	1.59127010635556	0	0	0	1.53046132376029
ENSG00000072657	34.4289688770986	0.709622370248651	0.667325130863481	0	82.4741386065841	84.7072167917734	6.38066284630035	13.9946986866176	13.2717525743792	0	0.632776420379734	24.4774856418726	0	2.85412463041915	61.4251233319542	13.0375898886244	0.770769308287359	0	1.86397725753119	0	0	0.748667340613835	0
ENSG00000101057	7.07529981946548	108.973009384509	1.29824411866543	3.36566072060722	0.584258193308177	7.88412873315194	11.6291364520263	87.3495644252438	1.93645952256166	0	59.0895126727939	15.8794102575714	122.948588757941	47.1006901184581	0	0	22.4923356333915	71.7199320802594	16.4361108852827	74.3558702890799	78.4066884666561	17.2214912706048	25.1113721310515
ENSG00000101203	7.57491996679696	17.9487525592915	1.85625237704728	0.661495736065738	16.7050852203098	23.4194678097237	5.53132988177035	0	44.8977564567573	37.7932317249142	1688.30366841075	16.2642335403194	525.811275418133	1.89208961379135	6.28220245027619	1.42431113563195	14.8125192747396	915.976712956442	16.5973295670509	598.129891210493	287.128086408673	8.1945354258324	81.0446724219248
ENSG00000101327	21.0489307062748	2.155523071696	33.2607176538737	0	5.74188270973954	5.28998630673315	0	3.33015420597994	3.17542376452642	0	3.46055410825329	99.4585942943797	0	0	122.941401896304	89.8698863047332	3.52137423059993	0	3.97406676452083	0	0	1.14013270126494	1.63808649011559
ENSG00000106333	15.3537056948868	75.0257478348524	14.4546233184705	8.40464974610754	76.0712258972197	23.6795315594214	28.0492925105189	894.484545031756	12.3766328830058	6.18607598925176	96.0925488460004	44.3542339714461	98.2116660089338	707.861590306633	3.53530111844887	8.1292342553207	43.7938629917841	315.788118038733	119.647756845566	43.7142456578526	102.079556019932	50.6162035227686	33.9421490298049
ENSG00000108821	1022.73905334008	323.129983077883	109.971961685539	1409.54073686545	57.3941766828967	124.678289297601	596.901197171783	12079.5890235626	551.646569523578	109.794179614923	400.180162318841	185.51586835982	835.912420256747	49432.1859682038	38.0298555190874	80.9052171106735	1346.75025788666	21355.8972884333	218.070966335514	751.708315293592	1355.90892080383	570.155788497381	1708.06432198443
ENSG00000115163	1.47724912183233	6.49907780167488	0	0	0	1.87700915149987	1.3064411772539	10.1257339148587	0	0	1.93615267467213	1.0518200131509	9.78558132205739	8.83378010145563	0	0	4.22654947764549	6.36044114041384	6.97937906180249	4.9966420020684	9.58168790650978	0	7.86449056050103
ENSG00000117122	3.61539185943191	5.17496117379983	0.405350977463904	1.54783039775565	0.97338176873068	1.0359497734001	12.0842447091278	85.3344430173325	0.593704309863529	0	1.13227574385228	1.98752288050346	16.8541867813081	184.884143579172	2.65080012675358	1.96525099392768	2.75839416189323	39.8834315258606	2.66828682968725	21.8172158811819	0.82892815688708	15.1930421506793	16.3999469786454
