baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000205277.10 2.6249647330586 5.2960919783985 1.06690007164866 4.96400002130896 0.000000690559354848547 0.00894937694670258
ENSG00000268350.8 11.4679661920709 5.79086803668943 1.17363308109217 4.93413838616455 0.000000805053474268212 0.00894937694670258
ENSG00000160294.11 186.143568268554 -1.87871611239683 0.408720509579584 -4.59657900292134 0.00000429484172455523 0.0238718040155091
ENSG00000232653.9 59.4573744470242 -3.24280245683531 0.705413291391821 -4.59702488797322 0.00000428566444131179 0.0238718040155091
ENSG00000169609.14 182.779029390544 -2.0089260642753 0.452363052148248 -4.44095965560188 0.00000895585860202233 0.0393405557923856
ENSG00000196233.14 156.74151777101 -2.86557247508295 0.650643304873026 -4.40421418866697 0.0000106168009155001 0.0393405557923856
ENSG00000136152.15 53.9440052229456 -2.85032288131321 0.654893960535058 -4.35234259754733 0.0000134690567852823 0.0424124283450198
ENSG00000164068.16 104.795128272186 -1.96605448725663 0.454591048936883 -4.32488605275993 0.0000152610725840039 0.0424124283450198
ENSG00000162777.17 17.8654675744655 2.51547794423293 0.610176764496238 4.1225397140609 0.0000374717981625612 0.0925678320609136
ENSG00000117724.15 26.9166757650408 -2.55184177398501 0.637050514965197 -4.0057133838506 0.0000618305869327799 0.0981913885197496
ENSG00000138376.11 38.3462045962014 -3.55954663841881 0.885469353623926 -4.01995464196563 0.0000582093473462303 0.0981913885197496
ENSG00000163071.11 8.3894055112151 3.90604198644382 0.964836732652908 4.04839684710573 0.0000515696533614892 0.0981913885197496
ENSG00000174371.17 4.20560130699172 -3.63317698358961 0.89912971564426 -4.04077067009881 0.0000532758367272482 0.0981913885197496
ENSG00000183020.15 245.954903939281 -1.37306970329687 0.340429338430312 -4.03334715400253 0.0000549879518763511 0.0981913885197496
ENSG00000165949.13 62.5029702438786 2.0916086879415 0.528101979016207 3.96061512936938 0.0000747569392084049 0.110804735294698
ENSG00000133321.11 101.114001891327 1.72339182452739 0.445769135900389 3.86610845330598 0.000110585776616546 0.145770375291784
ENSG00000135048.14 60.731697528203 2.041495470939 0.531492614991533 3.84106084140327 0.000122503743887643 0.145770375291784
ENSG00000183798.5 11.70406520989 -3.27869803998916 0.854506952204573 -3.83694717934164 0.000124573252846845 0.145770375291784
ENSG00000226950.8 37.1202205271435 -2.08404146721323 0.541783313288424 -3.84663280706058 0.00011975223228487 0.145770375291784
ENSG00000148175.13 158.888818679509 1.28199942371692 0.335714071963187 3.8187241190697 0.000134143679433579 0.149120821242338
ENSG00000290788.1 4.3966326519096 5.33560874933494 1.41446046189113 3.77218656377376 0.000161823183191745 0.17132451580486
ENSG00000067646.12 4.25208631680219 5.31499441677141 1.42283799900335 3.73548810229583 0.000187351437875554 0.189335659922145
ENSG00000061455.11 6.51525642517958 -4.37351483323066 1.1837087051045 -3.69475599391201 0.00022009804854592 0.212758257100932
ENSG00000162959.14 48.7600393217853 1.65882681879131 0.451347074378967 3.67527987430467 0.000237588816969172 0.220096340319817
ENSG00000105738.11 151.087881088136 -1.33930087475932 0.368912592090514 -3.63040162757773 0.000282980543593834 0.241981016373912
ENSG00000149131.17 251.427753653607 1.58487518450064 0.436215569003023 3.63323846538283 0.000279886126433671 0.241981016373912
ENSG00000090932.11 23.6230863324393 -4.23879782399364 1.18712441977991 -3.57064327324638 0.000356105604992822 0.250043516133977
ENSG00000155893.13 37.4867109684379 -1.54716709962695 0.431599216947716 -3.58473101635486 0.000337425781500385 0.250043516133977
ENSG00000180447.7 26.4515134097698 -2.89570420877612 0.802615166484941 -3.60783639494114 0.000308761077693762 0.250043516133977
ENSG00000244607.7 7.42963559338811 4.79130167617752 1.3326693475371 3.5952666616309 0.000324059471368853 0.250043516133977
ENSG00000262633.2 5.65677750770845 4.96463081565374 1.3961434365158 3.55596043057253 0.00037660076166532 0.250043516133977
ENSG00000283259.1 36.5299935370675 2.42992369669394 0.682638278742502 3.55960656230726 0.000371410804275667 0.250043516133977
ENSG00000289008.1 4.3612842811048 -4.10914736242373 1.15686940270592 -3.551954397629 0.000382381124839438 0.250043516133977
ENSG00000291033.1 11.7101397309163 5.5929819225187 1.56908085258684 3.56449568121231 0.000364556453675909 0.250043516133977
ENSG00000129824.16 30.0357590278698 8.03010040760079 2.27539895840434 3.52909558033376 0.000416982498206936 0.2575214411843
ENSG00000196878.15 19.4120963161613 -2.42244744615511 0.68551770038878 -3.53374893862151 0.000409710058216206 0.2575214411843
ENSG00000168918.14 110.474033185527 1.50698494330322 0.42916059104961 3.51147093822745 0.000445634184480509 0.267777968204193
ENSG00000157601.15 173.418163155176 1.9547150147538 0.561649025304228 3.48031408706708 0.000500826275843947 0.293022910285223
ENSG00000164008.17 92.9187573638825 -2.83891581203998 0.821310082125814 -3.45657002613672 0.00054709703892054 0.296015375441109
ENSG00000183856.11 18.236518216167 -2.88777758747342 0.83669403085235 -3.45141411434668 0.000557657209156341 0.296015375441109
