ensgene baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000239951 17.4990216802076 23.7027843966199 3.88412790098662 6.10247267877021 0.00000000104439967009754 0.0000170195370239096
ENSG00000278196 5.68393133974113 23.6822487512835 4.26433783313596 5.55355829626372 0.0000000279912255191391 0.000228072505529946
ENSG00000256349 9.59181860890627 30 5.81855144485493 5.15592244638957 0.000000252385345973051 0.00137095719932561
ENSG00000129824 27.7674920218214 21.5899904858007 4.41959746126678 4.88505812464025 0.00000103398346416861 0.00421244863302293
ENSG00000165949 58.7053736653042 4.01279827202006 0.835358564187645 4.80368364442682 0.00000155772882913801 0.00507694979992659
ENSG00000187955 40.347741087914 6.27535094458966 1.35284943085411 4.63861742590804 0.00000350747632298876 0.00952630569323749
ENSG00000095970 38.9289224379772 3.53369482148464 0.777029384582134 4.5476977983078 0.00000542359385318563 0.0110478606789391
ENSG00000180628 87.1885805453715 2.37899353586061 0.546039571769115 4.35681525452982 0.0000131968565373376 0.0215055974132454
ENSG00000108639 101.991921059026 2.350221388514 0.54735498595324 4.29377908090304 0.0000175657266476319 0.0251249990678546
ENSG00000170624 36.1663738082584 4.0715336591474 0.950793552009229 4.28224786605187 0.0000185014720676396 0.0251249990678546
ENSG00000211895 60.3128665531437 11.9695586313917 2.84762072592606 4.2033542326811 0.0000262988534806137 0.0286248674359224
ENSG00000268350 24.2051771716088 5.64208442488626 1.34229866751606 4.20330032460435 0.000026305120269828 0.0286248674359224
ENSG00000233670 15.2732059666199 5.72910389140639 1.36848171217352 4.18646726546825 0.0000283329773249978 0.0288571374055102
ENSG00000105122 31.9661530749802 3.87690460347936 0.932143354934809 4.15912915428175 0.0000319463233970889 0.0294789191233576
ENSG00000264920 11.2311853576669 3.17779577093179 0.789797986341559 4.0235551696602 0.0000573261474506736 0.0444850904217227
ENSG00000175567 77.9717069640935 2.44884551413056 0.612445281305088 3.99847233521369 0.0000637526308119006 0.0472233123504879
